document_id,authors,title
2002.07735,"[{'keyname': 'Duminil-Copin', 'forenames': 'Hugo'}, {'keyname': 'Goswami', 'forenames': 'Subhajit'}, {'keyname': 'Rodriguez', 'forenames': 'Pierre-François'}, {'keyname': 'Severo', 'forenames': 'Franco'}]",Equality of critical parameters for percolation of Gaussian free field  level-sets
2005.05253,"[{'keyname': 'Ghandehari', 'forenames': 'Mahya'}, {'keyname': 'Janssen', 'forenames': 'Jeannette'}]",Graph sequences sampled from Robinson graphons
2005.09386,"[{'keyname': 'Morin', 'forenames': 'Léo'}]",A semiclassical Birkhoff normal form for constant-rank magnetic fields
2006.14144,"[{'keyname': 'Cai', 'forenames': 'Wenjun'}, {'keyname': 'Potechin', 'forenames': 'Aaron'}]",The Spectrum of the Singular Values of Z-Shaped Graph Matrices
2007.00118,"[{'keyname': 'Ali', 'forenames': 'Mazen'}, {'keyname': 'Nouy', 'forenames': 'Anthony'}]",Approximation Theory of Tree Tensor Networks: Tensorized Univariate  Functions -- Part I
2007.00128,"[{'keyname': 'Ali', 'forenames': 'Mazen'}, {'keyname': 'Nouy', 'forenames': 'Anthony'}]",Approximation Theory of Tree Tensor Networks: Tensorized Univariate  Functions -- Part II
2007.06444,"[{'keyname': 'Janssen', 'forenames': 'Jeannette'}, {'keyname': 'Smith', 'forenames': 'Aaron'}]",Reconstruction of Line-Embeddings of Graphons
2007.09846,"[{'keyname': 'Petrunin', 'forenames': 'Anton'}]",Pure metric geometry: introductory lectures
2009.02768,"[{'keyname': 'Hozoori', 'forenames': 'Surena'}]",Symplectic Geometry of Anosov Flows in Dimension 3 and Bi-Contact  Topology
2009.07579,"[{'keyname': 'Losev', 'forenames': 'Ilya'}]",Jacobi matrices with lacunary spectrum
2009.14223,"[{'keyname': 'Hall', 'forenames': 'Michael J. W.'}]",Does locality plus perfect correlation imply determinism?
2012.02503,"[{'keyname': 'Cantarini', 'forenames': 'Marco'}, {'keyname': 'Gambini', 'forenames': 'Alessandro'}, {'keyname': 'Zaccagnini', 'forenames': 'Alessandro'}]",A Ces\`aro average for an additive problem with an arbitrary number of  prime powers and squares
2101.02539,"[{'keyname': 'Zhao', 'forenames': 'Yufei'}, {'keyname': 'Yao', 'forenames': 'Qiushi'}, {'keyname': 'Liu', 'forenames': 'Pengfei'}, {'keyname': 'Liu', 'forenames': 'Qihang'}]",Accurate polymorphous description of the paramagnetic phases in  MnBi$_{2}$Te$_{4}$
2101.11932,"[{'keyname': 'Ali', 'forenames': 'Mazen'}, {'keyname': 'Nouy', 'forenames': 'Anthony'}]",Approximation Theory of Tree Tensor Networks: Tensorized Multivariate  Functions
2102.07702,"[{'keyname': 'Sher', 'forenames': 'Itai'}]",Generalized Social Marginal Welfare Weights Imply Inconsistent  Comparisons of Tax Policies
2102.10525,"[{'keyname': 'Frank', 'forenames': 'Rupert L.'}, {'keyname': 'König', 'forenames': 'Tobias'}, {'keyname': 'Kovařík', 'forenames': 'Hynek'}]",Blow-up of solutions of critical elliptic equations in three dimensions
2102.12993,"[{'keyname': 'Herrero', 'forenames': 'R.'}, {'keyname': 'Farjas', 'forenames': 'J.'}, {'keyname': 'Pi', 'forenames': 'F.'}, {'keyname': 'Orriols', 'forenames': 'G.'}]",Designable Dynamical Systems for the Generalized Landau Scenario and the  Nonlinear Complexification of Periodic Orbits
2103.02626,"[{'keyname': 'Rossini', 'forenames': 'Davide'}, {'keyname': 'Vicari', 'forenames': 'Ettore'}]",Coherent and dissipative dynamics at quantum phase transitions
2104.00921,"[{'keyname': 'Zhu', 'forenames': 'Kuan'}, {'keyname': 'Guo', 'forenames': 'Haiyun'}, {'keyname': 'Zhang', 'forenames': 'Shiliang'}, {'keyname': 'Wang', 'forenames': 'Yaowei'}, {'keyname': 'Liu', 'forenames': 'Jing'}, {'keyname': 'Wang', 'forenames': 'Jinqiao'}, {'keyname': 'Tang', 'forenames': 'Ming'}]",AAformer: Auto-Aligned Transformer for Person Re-Identification
2104.11690,"[{'keyname': 'Dodson', 'forenames': 'Benjamin'}]","A determination of the blowup solutions to the focusing, quintic NLS  with mass equal to the mass of the soliton"
2105.04604,"[{'keyname': 'Kehle', 'forenames': 'Christoph'}, {'keyname': 'Van de Moortel', 'forenames': 'Maxime'}]",Strong Cosmic Censorship in the presence of matter: the decisive effect  of horizon oscillations on the black hole interior geometry
2105.05543,"[{'keyname': 'Gallego', 'forenames': 'Guillermo'}, {'keyname': 'Garcia-Prada', 'forenames': 'Oscar'}, {'keyname': 'Narasimhan', 'forenames': 'M. S.'}]",Higgs bundles twisted by a vector bundle
2105.15138,"[{'keyname': 'Iglesias', 'forenames': 'Francisco Hernández'}, {'keyname': 'Shadrin', 'forenames': 'Sergey'}]","Bi-Hamiltonian recursion, Liu-Pandharipande relations, and vanishing  terms of the second Dubrovin-Zhang bracket"
2105.15169,"[{'keyname': 'Kellner', 'forenames': 'Bernd C.'}]",On (self-) reciprocal Appell polynomials: Symmetry and Faulhaber-type  polynomials
2106.05983,"[{'keyname': 'Beyrer', 'forenames': 'Jonas'}, {'keyname': 'Pozzetti', 'forenames': 'Beatrice'}]",Degenerations of k-positive surface group representations
2106.14642,"[{'keyname': 'Meng', 'forenames': 'Li'}, {'keyname': 'Yazidi', 'forenames': 'Anis'}, {'keyname': 'Goodwin', 'forenames': 'Morten'}, {'keyname': 'Engelstad', 'forenames': 'Paal'}]",Expert Q-learning: Deep Reinforcement Learning with Coarse State Values  from Offline Expert Examples
2108.03277,"[{'keyname': 'Chambers', 'forenames': 'Christopher P'}, {'keyname': 'Echenique', 'forenames': 'Federico'}]",Empirical Welfare Economics
2109.00006,"[{'keyname': 'Cassanelli', 'forenames': 'T.'}, {'keyname': 'Bach', 'forenames': 'U.'}, {'keyname': 'Winkel', 'forenames': 'B.'}, {'keyname': 'Kraus', 'forenames': 'A.'}]",Out-of-focus holography at the Effelsberg telescope
2109.04819,"[{'keyname': 'Pegoraro', 'forenames': 'Jacopo'}, {'keyname': 'Lacruz', 'forenames': 'Jesus Omar'}, {'keyname': 'Meneghello', 'forenames': 'Francesca'}, {'keyname': 'Bashirov', 'forenames': 'Enver'}, {'keyname': 'Rossi', 'forenames': 'Michele'}, {'keyname': 'Widmer', 'forenames': 'Joerg'}]",RAPID: Retrofitting IEEE 802.11ay Access Points for Indoor Human  Detection and Sensing
2109.08646,"[{'keyname': 'Ghandehari', 'forenames': 'Mahya'}, {'keyname': 'Janssen', 'forenames': 'Jeannette'}, {'keyname': 'Kalyaniwalla', 'forenames': 'Nauzer'}]",A noncommutative approach to the graphon Fourier transform
2109.09187,"[{'keyname': 'Binns', 'forenames': 'Fraser'}, {'keyname': 'Kang', 'forenames': 'Sungkyung'}, {'keyname': 'Simone', 'forenames': 'Jonathan'}, {'keyname': 'Truöl', 'forenames': 'Paula'}]",On the nonorientable four-ball genus of torus knots
2109.13648,"[{'keyname': 'Virolainen', 'forenames': 'Savi'}]",Gaussian and Student's $t$ mixture vector autoregressive model with  application to the effects of the Euro area monetary policy shock
2110.06056,"[{'keyname': 'Jana', 'forenames': 'Susmita'}, {'keyname': 'Shankaranarayanan', 'forenames': 'S.'}]",Non-minimally coupled electromagnetic fields and observable implications  for primordial black holes
2111.01735,"[{'keyname': 'Sarkar', 'forenames': 'Abhishek'}]",Cohomology of Lie algebroids over algebraic spaces
2111.15393,"[{'keyname': 'Rodriguez', 'forenames': 'M. C.'}]",The Scalar Potential of Supersymmetric $SU(3)_{C}\times SU(3)_{L}\times  U(1)_{N}$ Model
2112.06820,"[{'keyname': 'Jeannic', 'forenames': 'Hanna Le'}, {'keyname': 'Tiranov', 'forenames': 'Alexey'}, {'keyname': 'Carolan', 'forenames': 'Jacques'}, {'keyname': 'Ramos', 'forenames': 'Tomás'}, {'keyname': 'Wang', 'forenames': 'Ying'}, {'keyname': 'Appel', 'forenames': 'Martin H.'}, {'keyname': 'Scholz', 'forenames': 'Sven'}, {'keyname': 'Wieck', 'forenames': 'Andreas D.'}, {'keyname': 'Ludwig', 'forenames': 'Arne'}, {'keyname': 'Rotenberg', 'forenames': 'Nir'}, {'keyname': 'Midolo', 'forenames': 'Leonardo'}, {'keyname': 'García-Ripoll', 'forenames': 'Juan José'}, {'keyname': 'Sørensen', 'forenames': 'Anders S.'}, {'keyname': 'Lodahl', 'forenames': 'Peter'}]",Dynamical photon-photon interaction mediated by a quantum emitter
2112.09726,"[{'keyname': 'Lin', 'forenames': 'David Chuan-En'}, {'keyname': 'Germanidis', 'forenames': 'Anastasis'}, {'keyname': 'Valenzuela', 'forenames': 'Cristóbal'}, {'keyname': 'Shi', 'forenames': 'Yining'}, {'keyname': 'Martelaro', 'forenames': 'Nikolas'}]",Soundify: Matching Sound Effects to Video
